CouponAssignmentMut1.sol	 killed 
CouponAssignmentMut10.sol	 live 
CouponAssignmentMut11.sol	 live 
CouponAssignmentMut12.sol	 killed 
CouponAssignmentMut13.sol	 live 
CouponAssignmentMut14.sol	 killed 
CouponAssignmentMut15.sol	 killed 
CouponAssignmentMut16.sol	 live 
CouponAssignmentMut17.sol	 killed 
CouponAssignmentMut18.sol	 live 
CouponAssignmentMut19.sol	 killed 
CouponAssignmentMut2.sol	 live 
CouponAssignmentMut20.sol	 killed 
CouponAssignmentMut21.sol	 live 
CouponAssignmentMut22.sol	 killed 
CouponAssignmentMut23.sol	 killed 
CouponAssignmentMut24.sol	 live 
CouponAssignmentMut25.sol	 live 
CouponAssignmentMut26.sol	 live 
CouponAssignmentMut27.sol	 live 
CouponAssignmentMut28.sol	 killed 
CouponAssignmentMut29.sol	 live 
CouponAssignmentMut3.sol	 killed 
CouponAssignmentMut30.sol	 live 
CouponAssignmentMut31.sol	 killed 
CouponAssignmentMut32.sol	 live 
CouponAssignmentMut33.sol	 live 
CouponAssignmentMut34.sol	 live 
CouponAssignmentMut35.sol	 live 
CouponAssignmentMut36.sol	 killed 
CouponAssignmentMut37.sol	 live 
CouponAssignmentMut38.sol	 live 
CouponAssignmentMut39.sol	 killed 
CouponAssignmentMut4.sol	 killed 
CouponAssignmentMut40.sol	 live 
CouponAssignmentMut5.sol	 live 
CouponAssignmentMut6.sol	 killed 
CouponAssignmentMut7.sol	 killed 
CouponAssignmentMut8.sol	 live 
CouponAssignmentMut9.sol	 killed 
CouponEventDelMut1.sol	 live 
CouponEventDelMut2.sol	 live 
CouponFunctionVisMut6.sol	 live 
CouponFunctionVisMut9.sol	 live 
CouponModifierAddMut3.sol	 live 
CouponModifierDelMut1.sol	 live 
CouponModifierDelMut2.sol	 live 
CouponStateVarMut1.sol	 killed 
CouponStateVarMut10.sol	 killed 
CouponStateVarMut2.sol	 killed 
CouponStateVarMut3.sol	 live 
CouponStateVarMut4.sol	 live 
CouponStateVarMut5.sol	 live 
CouponStateVarMut6.sol	 live 
CouponStateVarMut7.sol	 live 
CouponStateVarMut8.sol	 live 
CouponStateVarMut9.sol	 killed 
Live: 35
Killed: 22
Total: 57
Mutation Score: 0.38596491228070173
