ProjectBinMut1.sol	 live 
ProjectBinMut10.sol	 killed 
ProjectBinMut11.sol	 killed 
ProjectBinMut3.sol	 live 
ProjectBinMut4.sol	 killed 
ProjectBinMut5.sol	 live 
ProjectBinMut6.sol	 killed 
ProjectBinMut7.sol	 killed 
ProjectBinMut8.sol	 killed 
ProjectBinMut9.sol	 killed 
ProjectErrorHandle1.sol	 live 
ProjectErrorHandle10.sol	 live 
ProjectErrorHandle12.sol	 live 
ProjectErrorHandle14.sol	 live 
ProjectErrorHandle2.sol	 live 
ProjectErrorHandle3.sol	 live 
ProjectErrorHandle4.sol	 live 
ProjectErrorHandle5.sol	 live 
ProjectErrorHandle6.sol	 live 
ProjectErrorHandle7.sol	 live 
ProjectErrorHandle8.sol	 live 
ProjectErrorHandle9.sol	 live 
ProjectEventDelMut1.sol	 live 
ProjectEventDelMut2.sol	 live 
ProjectFunctionTypeMut2.sol	 killed 
ProjectFunctionTypeMut4.sol	 live 
ProjectFunctionVisMut10.sol	 killed 
ProjectFunctionVisMut11.sol	 killed 
ProjectFunctionVisMut12.sol	 live 
ProjectFunctionVisMut13.sol	 killed 
ProjectFunctionVisMut14.sol	 killed 
ProjectFunctionVisMut15.sol	 live 
ProjectFunctionVisMut16.sol	 killed 
ProjectFunctionVisMut17.sol	 killed 
ProjectFunctionVisMut18.sol	 live 
ProjectFunctionVisMut19.sol	 live 
ProjectFunctionVisMut20.sol	 live 
ProjectFunctionVisMut24.sol	 live 
ProjectFunctionVisMut25.sol	 killed 
ProjectFunctionVisMut26.sol	 killed 
ProjectFunctionVisMut27.sol	 live 
ProjectFunctionVisMut31.sol	 killed 
ProjectFunctionVisMut32.sol	 killed 
ProjectFunctionVisMut33.sol	 live 
ProjectFunctionVisMut34.sol	 killed 
ProjectFunctionVisMut35.sol	 killed 
ProjectFunctionVisMut37.sol	 killed 
ProjectFunctionVisMut38.sol	 killed 
ProjectFunctionVisMut39.sol	 live 
ProjectFunctionVisMut4.sol	 killed 
ProjectFunctionVisMut40.sol	 killed 
ProjectFunctionVisMut41.sol	 killed 
ProjectFunctionVisMut42.sol	 live 
ProjectFunctionVisMut46.sol	 killed 
ProjectFunctionVisMut47.sol	 killed 
Live: 28
Killed: 27
Total: 55
Mutation Score: 0.4909090909090909
