RepoAbstractContract1.sol	 killed 
RepoAbstractContract2.sol	 killed 
RepoAbstractContract3.sol	 killed 
RepoAbstractContract4.sol	 killed 
RepoAbstractContract5.sol	 killed 
RepoAbstractContract6.sol	 killed 
RepoAbstractContract7.sol	 killed 
RepoAbstractContract8.sol	 killed 
RepoAbstractContract9.sol	 killed 
RepoDataLocmemory2.sol	 live 
RepoDataLocmemory3.sol	 live 
RepoDataLocstorage1.sol	 killed 
RepoErrorHandle2.sol	 killed 
RepoErrorHandle4.sol	 killed 
RepoErrorHandle6.sol	 killed 
RepoEventDelMut1.sol	 live 
RepoFunctionTypeMut10.sol	 killed 
RepoFunctionTypeMut11.sol	 killed 
RepoFunctionTypeMut12.sol	 live 
RepoFunctionTypeMut14.sol	 live 
RepoFunctionTypeMut2.sol	 killed 
RepoFunctionTypeMut4.sol	 killed 
RepoFunctionTypeMut6.sol	 killed 
RepoFunctionTypeMut8.sol	 killed 
RepoFunctionVisMut10.sol	 killed 
RepoFunctionVisMut11.sol	 killed 
RepoFunctionVisMut12.sol	 live 
RepoFunctionVisMut13.sol	 killed 
RepoFunctionVisMut14.sol	 killed 
RepoFunctionVisMut15.sol	 live 
RepoFunctionVisMut16.sol	 killed 
RepoFunctionVisMut17.sol	 killed 
RepoFunctionVisMut19.sol	 killed 
RepoFunctionVisMut20.sol	 killed 
RepoFunctionVisMut21.sol	 live 
RepoFunctionVisMut22.sol	 killed 
RepoFunctionVisMut23.sol	 killed 
RepoFunctionVisMut25.sol	 live 
RepoFunctionVisMut26.sol	 live 
RepoFunctionVisMut3.sol	 live 
RepoFunctionVisMut6.sol	 live 
RepoFunctionVisMut7.sol	 killed 
RepoFunctionVisMut8.sol	 killed 
RepoFunctionVisMut9.sol	 live 
RepoModifierAddMut4.sol	 killed 
RepoModifierAddMut5.sol	 killed 
RepoModifierAddMut6.sol	 killed 
RepoModifierAddMut7.sol	 killed 
RepoModifierAddMut8.sol	 killed 
RepoModifierDelMut1.sol	 live 
RepoStateVarMut10.sol	 live 
RepoStateVarMut11.sol	 live 
RepoStateVarMut12.sol	 live 
RepoStateVarMut13.sol	 live 
RepoStateVarMut14.sol	 live 
RepoStateVarMut15.sol	 live 
RepoStateVarMut16.sol	 live 
RepoStateVarMut3.sol	 live 
RepoStateVarMut4.sol	 live 
RepoStateVarMut5.sol	 live 
RepoStateVarMut6.sol	 live 
RepoStateVarMut7.sol	 live 
RepoStateVarMut8.sol	 live 
RepoStateVarMut9.sol	 live 
Live: 28
Killed: 36
Total: 64
Mutation Score: 0.5625
