ACLFunctionVisMut3.sol	 live 
ACLFunctionVisMut30.sol	 killed 
ACLFunctionVisMut31.sol	 live 
ACLFunctionVisMut32.sol	 killed 
ACLFunctionVisMut33.sol	 killed 
ACLFunctionVisMut34.sol	 killed 
ACLFunctionVisMut35.sol	 killed 
ACLFunctionVisMut4.sol	 live 
ACLFunctionVisMut40.sol	 live 
ACLFunctionVisMut41.sol	 live 
ACLFunctionVisMut45.sol	 live 
ACLFunctionVisMut46.sol	 live 
ACLFunctionVisMut47.sol	 live 
ACLFunctionVisMut49.sol	 live 
ACLFunctionVisMut50.sol	 live 
ACLFunctionVisMut52.sol	 live 
ACLFunctionVisMut53.sol	 live 
ACLFunctionVisMut55.sol	 live 
ACLFunctionVisMut58.sol	 live 
ACLFunctionVisMut62.sol	 live 
ACLFunctionVisMut64.sol	 live 
ACLFunctionVisMut65.sol	 live 
ACLFunctionVisMut67.sol	 live 
ACLFunctionVisMut68.sol	 live 
ACLFunctionVisMut7.sol	 live 
ACLFunctionVisMut70.sol	 live 
ACLFunctionVisMut71.sol	 live 
ACLFunctionVisMut73.sol	 live 
ACLFunctionVisMut74.sol	 live 
ACLFunctionVisMut76.sol	 live 
ACLFunctionVisMut77.sol	 live 
ACLModifierAddMut19.sol	 killed 
ACLModifierAddMut20.sol	 killed 
ACLModifierAddMut21.sol	 killed 
ACLModifierAddMut22.sol	 killed 
ACLModifierAddMut23.sol	 killed 
ACLModifierAddMut24.sol	 killed 
ACLModifierAddMut25.sol	 killed 
ACLModifierAddMut26.sol	 killed 
ACLModifierAddMut27.sol	 killed 
ACLModifierAddMut28.sol	 killed 
ACLModifierAddMut29.sol	 killed 
ACLModifierAddMut30.sol	 killed 
ACLModifierAddMut32.sol	 killed 
ACLModifierAddMut33.sol	 killed 
ACLModifierAddMut5.sol	 killed 
ACLModifierDelMut1.sol	 live 
ACLMultipleInheritance1.sol	 live 
ACLMultipleInheritance2.sol	 live 
ACLStateVarMut11.sol	 live 
ACLStateVarMut13.sol	 killed 
ACLStateVarMut14.sol	 killed 
ACLStateVarMut15.sol	 live 
ACLStateVarMut16.sol	 live 
ACLStateVarMut17.sol	 killed 
ACLStateVarMut18.sol	 killed 
ACLStateVarMut19.sol	 killed 
ACLStateVarMut20.sol	 killed 
ACLStateVarMut21.sol	 live 
ACLStateVarMut22.sol	 live 
ACLStateVarMut23.sol	 live 
ACLStateVarMut24.sol	 live 
ACLStateVarMut25.sol	 live 
ACLStateVarMut26.sol	 live 
ACLStateVarMut27.sol	 live 
ACLStateVarMut28.sol	 live 
ACLStateVarMut29.sol	 live 
ACLStateVarMut3.sol	 live 
ACLStateVarMut30.sol	 live 
ACLStateVarMut31.sol	 live 
ACLStateVarMut32.sol	 live 
ACLStateVarMut33.sol	 live 
ACLStateVarMut34.sol	 live 
ACLStateVarMut5.sol	 live 
ACLStateVarMut7.sol	 live 
ACLStateVarMut9.sol	 live 
Live: 59
Killed: 37
Total: 96
Mutation Score: 0.3854166666666667
