Live: 0
Killed: 0
Total: 0
Mutation Score: NaN
EVMScriptRegistryDataLocmemory1.sol	 killed 
EVMScriptRegistryDataLocmemory2.sol	 killed 
EVMScriptRegistryDataLocmemory3.sol	 live 
EVMScriptRegistryErrorHandle1.sol	 killed 
EVMScriptRegistryErrorHandle11.sol	 killed 
EVMScriptRegistryErrorHandle15.sol	 killed 
EVMScriptRegistryErrorHandleAssertInsert13.sol	 killed 
EVMScriptRegistryErrorHandleAssertInsert17.sol	 live 
EVMScriptRegistryErrorHandleAssertInsert3.sol	 killed 
EVMScriptRegistryErrorHandleAssertInsert6.sol	 live 
EVMScriptRegistryErrorHandleAssertInsert9.sol	 killed 
EVMScriptRegistryErrorHandleReqInsert12.sol	 killed 
EVMScriptRegistryErrorHandleReqInsert16.sol	 live 
EVMScriptRegistryErrorHandleReqInsert2.sol	 killed 
EVMScriptRegistryErrorHandleReqInsert5.sol	 live 
EVMScriptRegistryErrorHandleReqInsert8.sol	 killed 
EVMScriptRegistryErrorHandleRevertInsert10.sol	 killed 
EVMScriptRegistryErrorHandleRevertInsert14.sol	 killed 
EVMScriptRegistryErrorHandleRevertInsert18.sol	 live 
EVMScriptRegistryErrorHandleRevertInsert4.sol	 killed 
EVMScriptRegistryErrorHandleRevertInsert7.sol	 live 
EVMScriptRegistryEventDelMut1.sol	 killed 
EVMScriptRegistryEventDelMut2.sol	 killed 
EVMScriptRegistryEventDelMut3.sol	 killed 
EVMScriptRegistryEventSwapMut7.sol	 killed 
EVMScriptRegistryEventSwapMut9.sol	 killed 
EVMScriptRegistryModifierAddMut9.sol	 killed 
EVMScriptRegistryModifierDelMut1.sol	 live 
EVMScriptRegistrySelfdestructInsert1.sol	 killed 
EVMScriptRegistrySelfdestructInsert2.sol	 live 
EVMScriptRegistrySelfdestructInsert3.sol	 killed 
EVMScriptRegistrySelfdestructInsert4.sol	 killed 
EVMScriptRegistrySelfdestructInsert5.sol	 live 
EVMScriptRegistryStateVarMut10.sol	 live 
EVMScriptRegistryStateVarMut11.sol	 live 
EVMScriptRegistryStateVarMut12.sol	 live 
EVMScriptRegistryStateVarMut13.sol	 killed 
EVMScriptRegistryStateVarMut14.sol	 killed 
EVMScriptRegistryStateVarMut3.sol	 killed 
EVMScriptRegistryStateVarMut4.sol	 killed 
EVMScriptRegistryStateVarMut5.sol	 live 
EVMScriptRegistryStateVarMut6.sol	 live 
EVMScriptRegistryStateVarMut7.sol	 live 
EVMScriptRegistryStateVarMut8.sol	 live 
EVMScriptRegistryStateVarMut9.sol	 live 
Live: 18
Killed: 27
Total: 45
Mutation Score: 0.6
