KernelAddressMutCall1.sol	 killed 
KernelAddressMutCall10.sol	 killed 
KernelAddressMutCall13.sol	 killed 
KernelAddressMutCall18.sol	 killed 
KernelAddressMutCall3.sol	 killed 
KernelAddressMutCall5.sol	 killed 
KernelAddressMutCall6.sol	 killed 
KernelAddressMutCall8.sol	 killed 
KernelAddressMutCall9.sol	 killed 
KernelAddressMutRand16.sol	 live 
KernelAddressMutZero15.sol	 live 
KernelBinMut1.sol	 killed 
KernelBinMut2.sol	 killed 
KernelBinMut3.sol	 killed 
KernelBinMut4.sol	 killed 
KernelBinMut5.sol	 killed 
KernelErrorHandle2.sol	 killed 
KernelErrorHandle4.sol	 killed 
KernelErrorHandle6.sol	 killed 
KernelEventDelMut1.sol	 killed 
KernelFunctionTypeMut1.sol	 killed 
KernelFunctionTypeMut10.sol	 live 
KernelFunctionTypeMut2.sol	 live 
KernelFunctionTypeMut3.sol	 killed 
KernelFunctionTypeMut4.sol	 live 
KernelFunctionTypeMut5.sol	 killed 
KernelFunctionTypeMut6.sol	 live 
KernelFunctionTypeMut7.sol	 killed 
KernelFunctionTypeMut8.sol	 live 
KernelFunctionTypeMut9.sol	 killed 
KernelFunctionVisMut1.sol	 killed 
KernelFunctionVisMut13.sol	 killed 
KernelFunctionVisMut14.sol	 killed 
KernelFunctionVisMut15.sol	 live 
KernelFunctionVisMut22.sol	 killed 
KernelFunctionVisMut23.sol	 killed 
KernelFunctionVisMut24.sol	 live 
KernelFunctionVisMut25.sol	 live 
KernelFunctionVisMut26.sol	 killed 
KernelFunctionVisMut27.sol	 killed 
KernelFunctionVisMut28.sol	 live 
KernelFunctionVisMut31.sol	 live 
KernelFunctionVisMut32.sol	 killed 
KernelFunctionVisMut33.sol	 killed 
KernelFunctionVisMut34.sol	 live 
KernelFunctionVisMut35.sol	 killed 
KernelFunctionVisMut36.sol	 killed 
KernelFunctionVisMut37.sol	 live 
KernelFunctionVisMut38.sol	 killed 
KernelFunctionVisMut39.sol	 killed 
KernelFunctionVisMut52.sol	 live 
KernelFunctionVisMut55.sol	 killed 
KernelFunctionVisMut56.sol	 live 
KernelFunctionVisMut6.sol	 live 
KernelFunctionVisMut9.sol	 live 
KernelModifierAddMut19.sol	 killed 
KernelModifierAddMut20.sol	 killed 
KernelModifierAddMut21.sol	 killed 
KernelModifierAddMut22.sol	 killed 
KernelModifierAddMut23.sol	 killed 
KernelModifierAddMut24.sol	 killed 
KernelModifierDelMut1.sol	 live 
KernelMultipleInheritance6.sol	 live 
KernelMultipleInheritance7.sol	 killed 
KernelStateVarMut3.sol	 live 
KernelStateVarMut4.sol	 live 
KernelStateVarMut5.sol	 live 
KernelStateVarMut6.sol	 live 
KernelStateVarMut7.sol	 live 
KernelStateVarMut8.sol	 live 
Live: 26
Killed: 44
Total: 70
Mutation Score: 0.6285714285714286
