ProjectAssignmentMut10.sol	 live 
ProjectAssignmentMut100.sol	 killed 
ProjectAssignmentMut101.sol	 live 
ProjectAssignmentMut102.sol	 live 
ProjectAssignmentMut103.sol	 killed 
ProjectAssignmentMut104.sol	 live 
ProjectAssignmentMut105.sol	 killed 
ProjectAssignmentMut106.sol	 live 
ProjectAssignmentMut107.sol	 killed 
ProjectAssignmentMut108.sol	 killed 
ProjectAssignmentMut109.sol	 live 
ProjectAssignmentMut11.sol	 killed 
ProjectAssignmentMut110.sol	 killed 
ProjectAssignmentMut111.sol	 killed 
ProjectAssignmentMut112.sol	 live 
ProjectAssignmentMut113.sol	 killed 
ProjectAssignmentMut114.sol	 live 
ProjectAssignmentMut115.sol	 killed 
ProjectAssignmentMut116.sol	 killed 
ProjectAssignmentMut117.sol	 live 
ProjectAssignmentMut118.sol	 killed 
ProjectAssignmentMut119.sol	 killed 
ProjectAssignmentMut120.sol	 live 
ProjectAssignmentMut13.sol	 live 
ProjectAssignmentMut14.sol	 killed 
ProjectAssignmentMut16.sol	 live 
ProjectAssignmentMut57.sol	 killed 
ProjectAssignmentMut58.sol	 killed 
ProjectAssignmentMut59.sol	 killed 
ProjectAssignmentMut60.sol	 killed 
ProjectAssignmentMut61.sol	 killed 
ProjectAssignmentMut62.sol	 killed 
ProjectAssignmentMut63.sol	 killed 
ProjectAssignmentMut64.sol	 killed 
ProjectAssignmentMut65.sol	 killed 
ProjectAssignmentMut66.sol	 live 
ProjectAssignmentMut67.sol	 killed 
ProjectAssignmentMut68.sol	 killed 
ProjectAssignmentMut69.sol	 live 
ProjectAssignmentMut70.sol	 killed 
ProjectAssignmentMut71.sol	 killed 
ProjectAssignmentMut72.sol	 live 
ProjectAssignmentMut73.sol	 live 
ProjectAssignmentMut74.sol	 live 
ProjectAssignmentMut75.sol	 killed 
ProjectAssignmentMut76.sol	 killed 
ProjectAssignmentMut77.sol	 live 
ProjectAssignmentMut78.sol	 killed 
ProjectAssignmentMut79.sol	 killed 
ProjectAssignmentMut80.sol	 killed 
ProjectAssignmentMut89.sol	 live 
ProjectAssignmentMut9.sol	 killed 
ProjectAssignmentMut90.sol	 killed 
ProjectAssignmentMut91.sol	 killed 
ProjectAssignmentMut92.sol	 killed 
ProjectAssignmentMut93.sol	 killed 
ProjectAssignmentMut94.sol	 live 
ProjectAssignmentMut95.sol	 killed 
ProjectAssignmentMut96.sol	 killed 
ProjectAssignmentMut97.sol	 live 
ProjectAssignmentMut98.sol	 live 
ProjectAssignmentMut99.sol	 live 
Live: 23
Killed: 39
Total: 62
Mutation Score: 0.6290322580645161
